,Favorite Count,Favorited ,Phone Type,Replied,Retweet Count,Retweeted,Screen Name ,Tweet Created At,Tweet Text,User Location,User Name 
0,0,False,Twitter for Android,None,50,False,irajendragautam,2020-02-29 05:37:17,"RT @ANI: Raghav Chadha, AAP MLA: Law department of Delhi government, after conducting due diligence, has given its opinion to Delhi governm…","Alwar, Rajsthan ,India",Rajendra Gautam
1,0,False,Twitter Web App,None,3,False,NoOne11796069,2020-02-29 05:37:17,RT @indiantweeter: Respected @ghaziabadpolice this @raghavsanjay has deleted this tweet but it is a danger for @KapilMishra_IND Bhai ... Pl…,,No One
2,0,False,Twitter for Android,None,176,False,SamarZodiac,2020-02-29 05:37:16,RT @iAnkurSingh: Request all to plz tag @factchecknet @baybarsorsek @dpfunke and ask them to verify this Fake Fact Check based on a WhatsAp…,Earth,Piotr
3,0,False,Twitter for iPhone,None,106,False,aamirwani88,2020-02-29 05:37:13,"RT @VishalDadlani: #AAP started out as people criticising a government that was wrong.

Most #AAP supporters are still those people, &amp; stil…",Delhi,Aamir Wani
4,0,False,Twitter for iPhone,None,61,False,Rahulein,2020-02-29 05:37:13,"RT @free_thinker: @VishnuRajgadia Please, lets not make such ridiculous comparisons. The cases against AAP ministers/MLAs etc did not requi…",Mumbai,Rahul
5,0,False,Twitter for Android,None,359,False,ShivSrkian,2020-02-29 05:37:11,RT @abhisar_sharma: Please watch the whole show. I hv never given any cleanchit to Tahir Hussain . Read what I have tweeted on the matter.…,"अंबालियासन, भारत",Srkian Shiv
6,0,False,Twitter for Android,None,359,False,AhadZaidi3,2020-02-29 05:37:09,RT @abhisar_sharma: Please watch the whole show. I hv never given any cleanchit to Tahir Hussain . Read what I have tweeted on the matter.…,,Ahad Zaidi
7,0,False,Twitter for Android,None,2750,False,Smartshivam420,2020-02-29 05:37:08,"RT @ANI: Delhi HC also issues notice to Centre on another plea filed by an advocate seeking FIR against social activist Harsh Mander, RJ Sa…","Gorakhpur,Uttar Pradesh, India",Shivam Rai
8,0,False,Twitter Web App,None,8,False,Banizlam,2020-02-29 05:37:08,"RT @nonexpertvivek: @jihadwatchRS @PJMedia_com There is a 19 year Hindu boy they put drill in his head.
Ankit was stabbed for 400 times,and…",,Alla Maadarchod
9,0,False,Twitter for iPhone,None,1515,False,rajeshwarbal1,2020-02-29 05:37:07,RT @pbhushan1: The Cops heading SIT for Delhi riots are also supervising the investigations into the violence at Jamia&amp;JNU.The EC had passe…,,Rajeshwar Bal
10,0,False,Twitter for Android,None,22,False,donsuryavsp,2020-02-29 05:37:06,"RT @ImVickyKumar: @iamnagarjuna 

It took me 34 years to meet my Superstar

WHAT AN ICONOC GENTLEMAN

LOVE YOU TILL MY LAST BREATHE

TOUCHI…",Vizag,VizagSurya
11,0,False,Twitter for Android,1233589070376271872,0,False,abhisek_biswal,2020-02-29 05:37:04,@vikrantgupta73 @harbhajan_singh Apka channel tho Roz  Hindu Muslim Kar Raha hai. ..Aap isme kynu padey ho...… https://t.co/oCzGTDX8n9,,abhisek _biswal
12,0,False,Twitter for Android,None,0,False,pankajvs22,2020-02-29 05:37:03,This could be an attempt to terrorize Hindus of Delhi by AAP! @NavroopSingh_ https://t.co/uLEHf9TE2R,,pankajvs22
13,0,False,Twitter for iPhone,None,127,False,OfficialSidUkFc,2020-02-29 05:37:02,"RT @TheRealKhabri: If u guys are comparing me with other handlers u are wrong aur galat fehmi me g rahe ho aap.

More than 50 Major verifie…",,SIDHARTH SHUKLA OFFICIAL UK FC💪🏆
14,0,False,Twitter for Android,None,3,False,sanjupaliamh,2020-02-29 05:37:01,RT @indiantweeter: Respected @ghaziabadpolice this @raghavsanjay has deleted this tweet but it is a danger for @KapilMishra_IND Bhai ... Pl…,"New Delhi, India",Prashant Paliwal
15,0,False,Twitter for Android,None,43,False,sultan_azmath,2020-02-29 05:37:01,"RT @SimmiAhuja_: कोई बात नहीं
When I told u u r AAP supporter u unfollow me
Elections नहीं है u can abuse and ask QUESTIONS 
During electio…","Bengaluru, India",Azmath sultan 🇮🇳INC
16,0,False,Twitter for Android,None,137,False,saurab6,2020-02-29 05:36:59,"RT @appadappajappa: AAP and people who voted for them and against communalism - a short story. 

 https://t.co/LiEge09GuJ",,saurab khan
17,0,False,Twitter for iPhone,1233626298708348928,0,False,mrugesh123,2020-02-29 05:36:56,Still AAP people Mr @KhanAmanatullah support to TAHIR. ... Human value in Delhi is just 10 lac ?? Sir we give you 1… https://t.co/IAqCkcOMyg,"surat,gujarat,india",MRUGESH PARMAR 🇮🇳
18,0,False,Twitter for Android,None,504,False,ohsophani,2020-02-29 05:36:55,RT @zoo_bear: Several social media users have raised doubts about the authenticity of AAP councillor Tahir Hussain's video appeal for help…,"Hyderabad, India",Phani
19,0,False,Twitter for Android,None,975,False,baanaadi,2020-02-29 05:36:54,"RT @RajeIyer: Update I heard 
Upto 300,000 Muslins hav claimed that all their documents were burnt during riots

AAP Govt will set up camps…",,Krishna Bhat
20,0,False,Twitter Web App,None,975,False,taneja_namish,2020-02-29 05:36:53,"RT @RajeIyer: Update I heard 
Upto 300,000 Muslins hav claimed that all their documents were burnt during riots

AAP Govt will set up camps…",,Namish Taneja
21,0,False,Twitter Web App,None,453,False,sayani181,2020-02-29 05:36:52,RT @AltNews: Several social media users have raised doubts about the authenticity of AAP councillor Tahir Hussain's video appeal for help d…,,Sayani D.
22,0,False,Twitter for Android,1233117661543968768,0,False,khurramdotcom,2020-02-29 05:36:51,@Patriottopakist Muqabla q kerti hein aap? Why compare urself with anyone?,Karachi,Khurram Naveed
23,0,False,Twitter Web App,None,1,False,SloganMurugan,2020-02-29 05:36:50,"RT @iconohclast: Presenting my monthly study of the state of op-eds in @IndianExpress, @htTweets &amp; @the_hindu. 

February had stories of ho…",,Mumbai Paused
